tau_f90.sh -g -O0 -DSETN=n -DSETRUN=10000 saxpy_omp.F90 -o saxpy_omp.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;1456;1490;1469;440433
50000;774562;1821499;1500308;1405061
100000;1550131;3029758;2028404;2298645
150000;2339304;4173800;3026928;1970963
200000;2625978;5555620;4038465;2353715
250000;3027544;6939237;5039347;2552464
300000;3540877;8338550;6036664;2784026
350000;4142430;9717302;7070017;3225491
400000;4722063;11100555;8066924;3179873
450000;5319041;12473986;9065763;3338643
500000;5908807;13870451;10082546;3614306
550000;6502511;15266510;11084695;3724007
600000;7086797;16633451;12098513;4021139
650000;7676856;18020183;13097738;4326178
700000;8273986;19422276;14134514;4331729
750000;8860683;20799680;15109216;4562046
800000;9454721;22212763;16130191;4698034
850000;10035245;23567196;17136087;4668964
900000;10632405;24965521;18145257;4934614
950000;11218865;26356763;19142293;5204368
1000000;11810842;27732282;20151303;5301153
1050000;12406152;29124065;21166602;5369652
1100000;12992680;30498665;22172768;5542161
1150000;13578885;31892739;23179542;5734789
1200000;14180712;33283686;24184337;5902660
1250000;14766996;34677054;25197150;6195656
1300000;15351496;36021989;26186861;6660902
1350000;15940521;37432516;27215831;6308186
1400000;16540527;38824369;28220293;6546297
1450000;17130700;40208330;29232354;6789070
1500000;17724526;41574044;30234687;6602898
1550000;18296152;42966571;31251167;7301461
1600000;18891635;44339135;32236374;6984303
1650000;19495018;45759094;33262427;7246273
1700000;20081803;47135484;34304430;7525685
1750000;20785337;48519444;35288528;7542092
1800000;21261504;49925152;36268258;7804182
1850000;21854554;51333091;37313625;7716741
1900000;22435910;52662133;38346668;7994599
1950000;23045640;54095145;39309581;8048555
2000000;23614978;55425554;40362904;8370716
2050000;24213009;56850306;41337455;8574478
