tau_f90.sh -g -O0 -DSETN=n -DSETRUN=1000 saxpy.F90 tools.o -o saxpy.exe ! no clearCache
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;142;154;146;48926
50000;77424;181239;150009;134711
100000;154941;302393;202273;177851
150000;236965;416447;303439;195435
200000;264802;554037;403785;242702
250000;301809;691562;504616;252802
300000;355119;833088;604764;321617
350000;414161;969253;705539;297325
400000;476164;1113476;810961;505471
450000;532541;1246081;908436;356559
500000;591813;1386443;1008465;346769
550000;651518;1523288;1111492;385968
600000;709800;1662809;1212479;437303
650000;767887;1799287;1310421;416442
700000;828188;1937392;1414481;428811
750000;886578;2077058;1512779;472720
800000;946873;2214443;1613942;476907
850000;1004481;2352816;1715590;524658
900000;1063663;2491273;1815038;487837
950000;1122970;2630028;1915555;505907
1000000;1181643;2767865;2015790;514017
1050000;1242970;2906377;2116967;556643
1100000;1300479;3044273;2220698;546661
1150000;1360458;3185935;2318516;554921
1200000;1419802;3324873;2422502;650777
1250000;1476793;3460526;2522136;571592
1300000;1536320;3597012;2620222;603859
1350000;1594868;3736305;2721640;593949
1400000;1654386;3874779;2828294;627959
1450000;1716988;4018395;2927117;662697
1500000;1772847;4153712;3023158;686467
1550000;1831609;4289499;3126906;678247
1600000;1891134;4428507;3227381;695171
1650000;1950960;4568525;3331962;762921
1700000;2008861;4704377;3429558;743633
1750000;2080208;4842201;3527175;743734
1800000;2128352;4986314;3634623;841962
1850000;2185347;5117981;3732222;769479
1900000;2246906;5263147;3828842;781749
1950000;2303348;5395371;3929947;830217
2000000;2363788;5535792;4030200;857549
2050000;2424854;5678142;4137733;901265
