tau_f90.sh -g -O3 -DSETN=n -DSETRUN=1000 saxpy.F90 tools.o -o saxpy.exe ! no clearCache
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;146;142;164;45249
50000;18481;18679;18569;111299
100000;39758;33563;31709;561908
150000;57644;45991;45935;224706
200000;66695;61354;60869;198922
250000;81797;75263;75169;184983
300000;92368;92746;91832;220293
350000;105462;105444;105777;188709
400000;119415;119206;119935;219675
450000;133919;134178;133560;270507
500000;149578;150411;149546;285723
550000;164124;163773;163589;243436
600000;180686;180408;182320;280213
650000;193781;194403;193512;261071
700000;207079;207986;207066;262596
750000;220888;220768;220826;270221
800000;239060;237729;237570;279909
850000;253907;254262;254219;298192
900000;268588;271496;268362;290629
950000;281582;281439;281562;316327
1000000;294160;294018;293840;312983
1050000;308256;308405;308822;317099
1100000;327594;326317;326373;331096
1150000;344327;344059;343566;330334
1200000;358364;357775;360531;430486
1250000;371499;370930;370665;348053
1300000;384250;381488;383472;352296
1350000;395700;395293;395202;357718
1400000;416933;416256;415385;391566
1450000;436228;435767;437952;393531
1500000;448871;447199;447600;414368
1550000;455898;456872;456004;510518
1600000;469987;469749;469961;421691
1650000;485137;485428;485213;425941
1700000;505690;504528;504919;446278
1750000;530632;527576;527242;592162
1800000;535444;535271;535193;462693
1850000;543500;543451;542797;504226
1900000;559247;557700;558042;469724
1950000;577891;575565;576643;473142
2000000;598596;596864;595488;488529
2050000;615511;611648;612166;578425
