tau_f90.sh -g -O3 -DSETN=n -DSETRUN=10000 saxpy.F90 tools.o -o saxpy.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;207;215;186;137765
50000;23725;22881;22863;152394
100000;47412;46343;45885;156384
150000;72495;70865;70318;165426
200000;99220;96176;97486;261040
250000;124310;120123;118542;241895
300000;153303;146779;143452;226589
350000;211221;200148;195031;210574
400000;211078;200413;197228;260596
450000;245161;235379;230384;245995
500000;272097;259755;254774;247871
550000;312204;296535;291162;258561
600000;419496;389919;384567;317886
650000;368996;350577;344904;270680
700000;446760;417032;406507;261924
750000;452811;421401;414966;300855
800000;581718;543481;533417;348979
850000;610393;555835;557199;339266
900000;561905;518149;514039;342536
950000;606474;562612;553529;402430
1000000;673844;621734;606822;406990
1050000;662824;628472;603176;442378
1100000;718669;689988;637753;411965
1150000;742466;721254;668258;406950
1200000;831068;800638;749135;420936
1250000;811305;800640;739659;472524
1300000;837412;828593;767685;430512
1350000;890963;884682;793054;424858
1400000;917667;913960;821710;452964
1450000;966773;946834;868675;483554
1500000;980134;977958;890866;534497
1550000;1006481;999625;915503;506166
1600000;1066034;1029837;931250;490813
1650000;1063302;1044225;976121;537128
1700000;1201544;1157775;1092890;665317
1750000;1226563;1192870;1124692;564430
1800000;1236679;1165826;1110140;600314
1850000;1245163;1191439;1150621;566019
1900000;1311907;1240068;1210524;584772
1950000;1459362;1375811;1334096;661988
2000000;1401585;1311571;1293960;683648
2050000;1479061;1381909;1360181;683244
