tau_f90.sh -g -O3 -DSETN=n -DSETRUN=10000 saxpy.F90 tools.o -o saxpy.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;151;134;132;41964
50000;17957;17924;18115;130348
100000;38693;33499;31720;143953
150000;57453;46045;45786;136883
200000;66641;61121;61555;232927
250000;85538;75931;75625;283079
300000;91976;91248;91424;181017
350000;105376;105606;104790;214353
400000;119652;119166;119253;207833
450000;133725;133104;132973;235966
500000;149566;149034;149013;256845
550000;164247;166907;164099;257962
600000;181432;180965;182234;392938
650000;193869;193299;192740;249585
700000;206836;207949;206754;261900
750000;221266;221229;220935;259157
800000;238458;237947;237537;268362
850000;254103;253549;253121;272582
900000;269817;269506;268959;340943
950000;282716;281824;280893;390839
1000000;294347;293743;294528;319302
1050000;308853;308629;308662;327684
1100000;326403;326107;327678;342492
1150000;342902;342374;341844;327094
1200000;358127;357850;357406;344831
1250000;369881;369388;368992;343853
1300000;382942;380767;382008;407870
1350000;396218;395831;395806;450487
1400000;415644;415021;415377;390114
1450000;439908;440127;441409;394010
1500000;447014;446636;447118;420712
1550000;456386;455838;455614;420683
1600000;472155;471444;471201;414526
1650000;484484;484213;484009;502611
1700000;504402;504452;503368;534782
1750000;524852;524474;525027;440579
1800000;537317;536490;536268;502064
1850000;544841;543791;542958;528577
1900000;559800;557585;558247;475972
1950000;573355;574432;573832;494643
2000000;600345;594971;593926;501966
2050000;631574;622164;620922;484476
