;SAXBY;SAXBY_DO;SAXBY_DO_CONCURRENT
1;151;135;138
10000;2716;2699;2709
20000;4593;4542;4542
30000;7894;8028;7945
40000;12230;12130;12182
50000;15751;15648;15674
60000;20241;20832;20384
70000;24094;24245;24210
80000;28263;28084;28023
90000;32231;32617;32288
100000;34117;34024;34304
110000;37952;37994;37900
120000;41020;41057;40841
130000;46383;45376;45755
140000;48867;48865;49096
150000;51625;52708;51816
160000;55258;54888;55003
170000;58989;60054;59230
180000;61841;63146;62297
190000;64451;64264;65230
200000;67314;67697;67174
210000;71813;72269;71783
220000;74724;74964;75823
230000;76266;77589;76472
240000;79910;80464;79904
250000;85205;85770;85014
260000;88743;90596;88390
270000;90700;90966;90629
280000;93304;92558;93127
290000;97814;97998;97793
300000;99877;99417;99723
310000;105648;105906;105643
320000;106157;106119;106103
330000;111035;110328;111746
340000;114993;114703;115270
350000;119280;118402;119089
360000;118759;118656;118345
370000;123615;123989;123191
380000;127869;127880;127671
390000;133668;133726;133375
400000;134221;134535;133843
410000;135745;136048;135268
420000;143112;142825;142318
430000;145332;144444;144848
440000;147296;147871;147361
450000;149966;151020;149931
460000;154881;155198;155992
470000;160053;159590;160230
480000;163795;162018;161801
490000;163118;163509;163746
500000;171133;169414;169642
510000;172771;172117;172455
520000;176486;175520;176536
530000;174723;174974;175428
540000;182069;182024;181971
550000;184619;183963;183796
560000;188368;187436;187975
570000;190420;190570;190377
580000;193482;192556;193228
590000;196938;197099;197649
600000;204911;205064;204106
610000;203330;203352;203399
620000;206098;206167;205726
630000;210038;209372;210535
640000;222095;220997;219542
650000;193521;193517;193622
660000;195319;195624;195208
670000;198121;198298;198672
680000;203684;203374;203482
690000;205981;206355;206013
700000;206929;207028;206858
710000;209556;209631;209621
720000;214979;214939;214907
730000;217806;218896;217848
740000;219236;219255;219295
750000;221147;221186;221078
760000;226522;226676;226489
770000;231160;231316;230921
780000;231769;231676;231519
790000;232567;232119;232392
800000;237643;237666;237621
810000;242868;242819;242787
820000;244287;244710;244712
830000;245404;245085;244501
840000;248207;248207;248123
850000;254190;253861;254953
860000;256990;257192;257141
870000;256039;255974;256020
880000;260182;260154;259554
890000;264578;264611;264592
900000;269383;269463;269341
910000;268949;268821;268715
920000;270871;270842;272926
930000;275615;275544;275486
940000;283336;282958;283165
950000;281544;281559;281428
960000;283098;283172;283008
970000;287296;286942;287098
980000;298011;296825;297198
990000;294549;294763;294434
1000000;294517;294815;294687
1010000;299605;299134;299597
1020000;304267;304375;304464
1030000;306318;306267;306520
1040000;307915;307155;307608
