;SAXBY;SAXBY_DO;SAXBY_DO_CONCURRENT;SAXBY_DO_OMP
1;5;0;0;2727
50000;23;19;19;2549
100000;34;50;33;2937
150000;48;77;45;9196
200000;79;76;75;6452
250000;114;108;102;3055
300000;95;91;98;4865
350000;135;135;126;3098
400000;146;143;138;4885
450000;187;178;173;4907
500000;152;148;147;16146
550000;220;206;205;1503
600000;184;183;179;10826
650000;268;262;251;6689
700000;231;208;205;3154
750000;262;250;249;10455
800000;241;281;237;11801
850000;341;337;318;6644
900000;361;356;336;4924
950000;307;293;289;1493
1000000;297;292;296;6698
1050000;311;307;307;4662
1100000;330;324;327;4991
1150000;467;432;415;3143
1200000;476;451;433;5094
1250000;457;430;421;8236
1300000;385;378;380;5218
1350000;405;396;397;3253
1400000;425;416;413;5267
1450000;510;483;481;6852
1500000;523;473;468;1639
1550000;474;456;453;3164
1600000;604;530;508;6015
1650000;539;513;512;1626
1700000;662;585;572;5283
1750000;635;571;553;3275
1800000;576;536;535;6574
1850000;593;567;542;3284
1900000;619;555;557;5119
1950000;622;571;574;1699
2000000;871;717;670;3368
2050000;703;621;618;6859
